symbol,company_name,year,tax,revenue,earnings,cash_only,total_debt,fixed_assets,gross_profit,total_assets,total_equity,operating_pnl,total_liabilities,current_liabilities,earnings_before_tax,cash_and_equivalents,total_cash_and_due_from_banks
BINA.JK,PT Bank Ina Perdana Tbk.,2018,5540000000.0,149719000000,11395000000.0,,79881000000.0,,,3854174000000,1208052000000,16935000000.0,2646122000000,,16935000000,,255168000000.0
BINA.JK,PT Bank Ina Perdana Tbk.,2019,2825000000.0,163566000000,7115000000.0,,8293000000.0,,,5262429000000,1221096000000,9940000000.0,4041333000000,,9940000000,,454052000000.0
BINA.JK,PT Bank Ina Perdana Tbk.,2020,9245000000.0,240729000000,19376000000.0,,69030000000.0,,,8437685000000,1217144000000,27643000000.0,7220541000000,,28621000000,,237810000000.0
BINA.JK,PT Bank Ina Perdana Tbk.,2021,10429000000.0,305635000000,39748000000.0,,70230000000.0,,,15055850000000,2373675000000,50315000000.0,12682175000000,,50177000000,,4919315000000.0
BINA.JK,PT Bank Ina Perdana Tbk.,2022,45805000000.0,588062000000,157048000000.0,,1544219000000.0,,,20552736000000,3288088000000,203482000000.0,17264648000000,,202853000000,,3705202000000.0
BINA.JK,PT Bank Ina Perdana Tbk.,2023,59655000000.0,794527000000,207876000000.0,71563000000.0,34390000000.0,,,24384580000000,3556158000000,,20828422000000,,267531000000,,4951383000000.0
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,2018,384648000000.0,7185409000000,1548249000000.0,,19124530000000.0,,,120191387000000,11285315000000,2068961000000.0,108906072000000,,1937044000000,,20068881000000.0
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,2019,413470000000.0,6841018000000,1558651000000.0,,18834590000000.0,,,123536474000000,12042629000000,2167648000000.0,111493845000000,,1977962000000,,15197534000000.0
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,2020,478032000000.0,7624370000000,1687218000000.0,,19204589000000.0,,,140934002000000,12005800000000,2216131000000.0,128928202000000,,2168028000000,,12189448000000.0
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,2021,568928000000.0,9232901000000,2031858000000.0,,20024493000000.0,,,158356097000000,13084033000000,2589438000000.0,145272064000000,,2587582000000,,22536754000000.0
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,2022,590336000000.0,9589942000000,2304376000000.0,,31076179000000.0,,,181241291000000,14745986000000,2854157000000.0,166495305000000,,2835618000000,,21721965000000.0
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,2023,445190000000.0,9280177000000,1778395000000.0,3530074000000.0,25480860000000.0,,,188295488000000,15449018000000,,172846470000000,,2126367000000,,19963190000000.0
